DATA,UNIDADE,PRECO
2017-12-06,arroba,79.17
2017-12-07,arroba,79.17
2017-12-11,arroba,79.17
2017-12-12,arroba,79.17
2017-12-13,arroba,79.17
2017-12-14,arroba,79.17
2017-12-15,arroba,79.17
2017-12-18,arroba,79.17
2017-12-19,arroba,79.17
2017-12-20,arroba,79.17
2017-12-21,arroba,79.17
2017-12-22,arroba,79.17
2017-12-26,arroba,79.17
2017-12-27,arroba,79.17
2017-12-28,arroba,79.17
2017-12-29,arroba,79.17
2018-01-02,arroba,79.17
2018-01-03,arroba,79.17
2018-01-04,arroba,79.17
2018-01-05,arroba,79.17
2018-01-08,arroba,83.55
2018-01-09,arroba,83.55
2018-01-10,arroba,83.55
2018-01-11,arroba,83.55
2018-01-12,arroba,83.55
2018-01-15,arroba,83.55
2018-01-16,arroba,83.55
2018-01-17,arroba,83.55
2018-01-18,arroba,83.55
2018-01-19,arroba,83.55
2018-01-22,arroba,83.55
2018-01-23,arroba,83.55
2018-01-24,arroba,83.55
2018-01-25,arroba,83.55
2018-01-26,arroba,83.55
2018-01-29,arroba,83.55
2018-01-30,arroba,83.55
2018-01-31,arroba,83.55
2018-02-01,arroba,83.55
2018-02-02,arroba,83.55
2018-02-05,arroba,91.43
2018-02-06,arroba,91.43
2018-02-07,arroba,91.43
2018-02-08,arroba,91.43
2018-02-15,arroba,91.43
2018-02-16,arroba,91.43
2018-02-19,arroba,91.43
2018-02-20,arroba,91.43
2018-02-21,arroba,91.43
2018-02-22,arroba,91.43
2018-02-23,arroba,91.43
2018-02-26,arroba,91.43
2018-02-27,arroba,91.77
2018-02-28,arroba,91.77
2018-03-01,arroba,91.77
2018-03-02,arroba,91.77
2018-03-05,arroba,91.77
2018-03-06,arroba,91.77
2018-03-07,arroba,91.77
2018-03-08,arroba,91.77
2018-03-09,arroba,91.77
2018-03-12,arroba,91.77
2018-03-13,arroba,91.77
2018-03-14,arroba,91.77
2018-03-15,arroba,91.77
2018-03-16,arroba,91.77
2018-03-19,arroba,91.77
2018-03-20,arroba,91.77
2018-03-21,arroba,91.77
2018-03-22,arroba,91.77
2018-03-23,arroba,91.77
2018-03-26,arroba,91.77
2018-03-27,arroba,91.77
2018-03-28,arroba,91.77
2018-03-29,arroba,91.77
2018-04-02,arroba,91.77
2018-04-03,arroba,91.77
2018-04-04,arroba,91.77
2018-04-05,arroba,91.77
2018-04-06,arroba,91.77
2018-04-09,arroba,91.77
2018-04-10,arroba,91.77
2018-04-11,arroba,91.77
2018-04-12,arroba,91.77
2018-04-13,arroba,91.77
2018-04-16,arroba,91.77
2018-04-17,arroba,91.77
